,correct,questions,responses,rt,time_elapsed,trial_type,worker_id,assignment_id,pid
289,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""Whether I chose the move that was best according to the information I had.""]",145835,547442,survey-multi-choice,A2KMX4HGXSWS7U,3DYGAII7PL816S2U9PRW3OUAYNGQP3,18
291,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""Whether I chose the move that was best according to the information I had.""]",64384,656038,survey-multi-choice,A2KMX4HGXSWS7U,3DYGAII7PL816S2U9PRW3OUAYNGQP3,18
293,"[False, True, True, False, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""At most 1"",""5% of my score on a random round"",""All of the above.""]",67232,807396,survey-multi-choice,A2KMX4HGXSWS7U,3DYGAII7PL816S2U9PRW3OUAYNGQP3,18
295,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",163820,1016030,survey-multi-choice,A2KMX4HGXSWS7U,3DYGAII7PL816S2U9PRW3OUAYNGQP3,18
297,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""4"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",84385,1113922,survey-multi-choice,A2KMX4HGXSWS7U,3DYGAII7PL816S2U9PRW3OUAYNGQP3,18
299,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""2"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",11885,1156362,survey-multi-choice,A2KMX4HGXSWS7U,3DYGAII7PL816S2U9PRW3OUAYNGQP3,18
301,"[False, False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""False"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",41236,1209349,survey-multi-choice,A2KMX4HGXSWS7U,3DYGAII7PL816S2U9PRW3OUAYNGQP3,18
303,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",11134,1259457,survey-multi-choice,A2KMX4HGXSWS7U,3DYGAII7PL816S2U9PRW3OUAYNGQP3,18
314,"[True, False, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""False"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""The length of the delay is based on how much more money I could have earned by planning and deciding better.""]",34029,270382,survey-multi-choice,A2RFZPWXR7D4I5,3VP0C6EFSGW2B7MX20L6GFJOTHT6MQ,19
316,"[True, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""Whether I chose the move that was best according to the information I had.""]",24262,319045,survey-multi-choice,A2RFZPWXR7D4I5,3VP0C6EFSGW2B7MX20L6GFJOTHT6MQ,19
318,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",14374,341785,survey-multi-choice,A2RFZPWXR7D4I5,3VP0C6EFSGW2B7MX20L6GFJOTHT6MQ,19
329,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""Whether I observed the rewards of relevant locations.""]",32058,115950,survey-multi-choice,A2TOA704O1ML6A,3F0BG9B9MPNL9OPG4DE9GO6RX1QY74,20
331,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",21827,200009,survey-multi-choice,A2TOA704O1ML6A,3F0BG9B9MPNL9OPG4DE9GO6RX1QY74,20
333,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",27263,299373,survey-multi-choice,A2TOA704O1ML6A,3F0BG9B9MPNL9OPG4DE9GO6RX1QY74,20
344,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",121793,324512,survey-multi-choice,A2VX8B1CJXRN2,39U1BHVTDLR7RJPZSVOKVQ2WDYPT3A,21
346,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""2"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",23623,430389,survey-multi-choice,A2VX8B1CJXRN2,39U1BHVTDLR7RJPZSVOKVQ2WDYPT3A,21
348,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""4"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",28461,503833,survey-multi-choice,A2VX8B1CJXRN2,39U1BHVTDLR7RJPZSVOKVQ2WDYPT3A,21
350,"[True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",180625,749048,survey-multi-choice,A2VX8B1CJXRN2,39U1BHVTDLR7RJPZSVOKVQ2WDYPT3A,21
361,"[False, True, False, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""4"",""True"",""$0.05"",""As many or as few as I wish"",""10% of my total score on all rounds""]",21742,35185,survey-multi-choice,A2W59CL4UQ3S4S,3ZV9H2YQQD7ZJ0TTN0TVIA9VHS63W9,22
363,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",32694,118218,survey-multi-choice,A2W59CL4UQ3S4S,3ZV9H2YQQD7ZJ0TTN0TVIA9VHS63W9,22
365,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",15517,178177,survey-multi-choice,A2W59CL4UQ3S4S,3ZV9H2YQQD7ZJ0TTN0TVIA9VHS63W9,22
367,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""2"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",7303,221537,survey-multi-choice,A2W59CL4UQ3S4S,3ZV9H2YQQD7ZJ0TTN0TVIA9VHS63W9,22
369,"[True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",7241,241756,survey-multi-choice,A2W59CL4UQ3S4S,3ZV9H2YQQD7ZJ0TTN0TVIA9VHS63W9,22
380,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",32340,130913,survey-multi-choice,A2WH3GIS2KF8LU,3TXD01ZLD4H79SNSSEJDARG4ACQU4L,23
382,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""4"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",26351,217697,survey-multi-choice,A2WH3GIS2KF8LU,3TXD01ZLD4H79SNSSEJDARG4ACQU4L,23
384,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""2"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",27684,314656,survey-multi-choice,A2WH3GIS2KF8LU,3TXD01ZLD4H79SNSSEJDARG4ACQU4L,23
386,"[True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",11487,338802,survey-multi-choice,A2WH3GIS2KF8LU,3TXD01ZLD4H79SNSSEJDARG4ACQU4L,23
397,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",26804,102364,survey-multi-choice,A2YBZFSUD5OP7W,3RANCT1ZVFHRUR817TT0I5MAK47UBR,24
399,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""Whether I chose the move that was best according to the information I had.""]",90707,242851,survey-multi-choice,A2YBZFSUD5OP7W,3RANCT1ZVFHRUR817TT0I5MAK47UBR,24
401,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""4"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",202155,483558,survey-multi-choice,A2YBZFSUD5OP7W,3RANCT1ZVFHRUR817TT0I5MAK47UBR,24
403,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",12839,514137,survey-multi-choice,A2YBZFSUD5OP7W,3RANCT1ZVFHRUR817TT0I5MAK47UBR,24
414,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",71583,208862,survey-multi-choice,A2YE2I9DYV9OKW,3IO1LGZLK9XNQIKT8ZBNBXIT9C5683,25
416,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""The length of the delay is based on how much more money I could have earned by planning and deciding better.""]",29484,310334,survey-multi-choice,A2YE2I9DYV9OKW,3IO1LGZLK9XNQIKT8ZBNBXIT9C5683,25
418,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",32800,443928,survey-multi-choice,A2YE2I9DYV9OKW,3IO1LGZLK9XNQIKT8ZBNBXIT9C5683,25
420,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",11777,491960,survey-multi-choice,A2YE2I9DYV9OKW,3IO1LGZLK9XNQIKT8ZBNBXIT9C5683,25
431,"[True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my best score on any round""]",19347,80423,survey-multi-choice,A34D413HR7ZIFM,3PDJHANYK5GGJTLMB35TOABSCVU6HH,26
433,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""2"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",18873,124287,survey-multi-choice,A34D413HR7ZIFM,3PDJHANYK5GGJTLMB35TOABSCVU6HH,26
435,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",14077,180562,survey-multi-choice,A34D413HR7ZIFM,3PDJHANYK5GGJTLMB35TOABSCVU6HH,26
437,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",30664,259155,survey-multi-choice,A34D413HR7ZIFM,3PDJHANYK5GGJTLMB35TOABSCVU6HH,26
439,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""2"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",23623,330722,survey-multi-choice,A34D413HR7ZIFM,3PDJHANYK5GGJTLMB35TOABSCVU6HH,26
441,"[True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",12128,368673,survey-multi-choice,A34D413HR7ZIFM,3PDJHANYK5GGJTLMB35TOABSCVU6HH,26
452,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",46902,145028,survey-multi-choice,A3862RIFFUV141,32Z9ZLUT1LK68ZRQBZRN5AXJXVOHOH,27
454,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""The length of the delay is based on how much more money I could have earned by planning and deciding better.""]",28520,241067,survey-multi-choice,A3862RIFFUV141,32Z9ZLUT1LK68ZRQBZRN5AXJXVOHOH,27
456,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",36911,316379,survey-multi-choice,A3862RIFFUV141,32Z9ZLUT1LK68ZRQBZRN5AXJXVOHOH,27
467,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",32931,258557,survey-multi-choice,A3C9GGDXBZW62D,3NLZY2D53PPBF7NWHXYPM7LQTDFLQ0,28
469,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",14942,376405,survey-multi-choice,A3C9GGDXBZW62D,3NLZY2D53PPBF7NWHXYPM7LQTDFLQ0,28
480,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",52852,200733,survey-multi-choice,A3EU2ZIKRJTLQD,39ASUFLU6X7HIYEGMP6D3KRZHI0XEJ,29
482,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""2"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",70636,388070,survey-multi-choice,A3EU2ZIKRJTLQD,39ASUFLU6X7HIYEGMP6D3KRZHI0XEJ,29
484,"[True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",22450,484435,survey-multi-choice,A3EU2ZIKRJTLQD,39ASUFLU6X7HIYEGMP6D3KRZHI0XEJ,29
495,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""Whether I observed the rewards of relevant locations.""]",27446,151241,survey-multi-choice,A3HMDGRGC5JB7E,39OWYR0EPKRYOH4MMWCL4GJ8VP9YF8,30
497,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",13954,192701,survey-multi-choice,A3HMDGRGC5JB7E,39OWYR0EPKRYOH4MMWCL4GJ8VP9YF8,30
499,"[False, True, True, False, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""At most 5"",""5% of my score on a random round"",""All of the above.""]",17906,240403,survey-multi-choice,A3HMDGRGC5JB7E,39OWYR0EPKRYOH4MMWCL4GJ8VP9YF8,30
501,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""2"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",12233,290803,survey-multi-choice,A3HMDGRGC5JB7E,39OWYR0EPKRYOH4MMWCL4GJ8VP9YF8,30
503,"[False, True, True, False, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""2"",""True"",""$1.60"",""At most 1"",""5% of my score on a random round"",""All of the above.""]",12687,347129,survey-multi-choice,A3HMDGRGC5JB7E,39OWYR0EPKRYOH4MMWCL4GJ8VP9YF8,30
505,"[False, True, True, True, True, False]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""2"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""Whether I chose the move that was best according to the information I had.""]",16652,378322,survey-multi-choice,A3HMDGRGC5JB7E,39OWYR0EPKRYOH4MMWCL4GJ8VP9YF8,30
507,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",7659,402750,survey-multi-choice,A3HMDGRGC5JB7E,39OWYR0EPKRYOH4MMWCL4GJ8VP9YF8,30
509,"[False, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""2"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",9935,419725,survey-multi-choice,A3HMDGRGC5JB7E,39OWYR0EPKRYOH4MMWCL4GJ8VP9YF8,30
511,"[True, True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?"",""What does the feedback teach you?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round"",""All of the above.""]",10448,439810,survey-multi-choice,A3HMDGRGC5JB7E,39OWYR0EPKRYOH4MMWCL4GJ8VP9YF8,30
522,"[False, False, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""4"",""False"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",26727,106771,survey-multi-choice,A3QJJR5Y3XE92N,3F0BG9B9MPNL9OPG4DE9GO6RX2TY79,31
524,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""2"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",18168,170361,survey-multi-choice,A3QJJR5Y3XE92N,3F0BG9B9MPNL9OPG4DE9GO6RX2TY79,31
526,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""4"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",21710,238562,survey-multi-choice,A3QJJR5Y3XE92N,3F0BG9B9MPNL9OPG4DE9GO6RX2TY79,31
528,"[False, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""1"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",17161,309589,survey-multi-choice,A3QJJR5Y3XE92N,3F0BG9B9MPNL9OPG4DE9GO6RX2TY79,31
530,"[True, True, True, True, True]","[""How many flights are there per round?"",""True or false: The hidden values will change each time I start a new round."",""How much does it cost to observe each hidden value?"",""How many hidden values am I allowed to observe in each round?"",""How is your bonus determined?""]","[""3"",""True"",""$1.60"",""As many or as few as I wish"",""5% of my score on a random round""]",7843,324465,survey-multi-choice,A3QJJR5Y3XE92N,3F0BG9B9MPNL9OPG4DE9GO6RX2TY79,31
